weather_id,station_id,date,tmax_f,tmin_f,wspd_mph,precipitation_in
1,1,2023-07-01,95.2,75.1,12.0,0.0
2,1,2023-07-02,88.5,70.3,8.5,0.1
3,1,2023-07-03,92.0,71.0,21.3,0.0
4,1,2023-07-04,85.6,65.2,15.8,0.0
5,1,2023-07-05,97.1,77.0,10.2,0.05
6,1,2023-01-01,63.0,59.0,28.0,
7,1,2023-01-02,,,,
8,1,2023-01-03,94.0,29.341284403669725,5.0,0.15
9,1,2023-01-04,102.0,28.0,25.0,
10,1,2023-01-05,,33.0,,
11,1,2023-01-06,,30.0,,0.85
12,1,2023-01-07,,,30.0,
13,1,2023-01-08,,,,
14,1,2023-01-09,,,,
15,1,2023-01-10,,,,
16,1,2023-01-11,81.0,33.0,34.0,
17,1,2023-01-12,,,,0.8
18,1,2023-01-13,43.0,29.341284403669725,,
19,1,2023-01-14,,,,0.6
20,1,2023-01-15,87.0,62.0,,
21,1,2023-01-16,64.0,-3.0,22.0,
22,1,2023-01-17,89.0,,,0.7
23,1,2023-01-18,90.0,29.0,,0.0
24,1,2023-01-19,86.0,16.0,,0.65
25,1,2023-01-20,57.0,,,
26,1,2023-01-21,,,0.0,
27,1,2023-01-22,109.0,46.0,5.0,0.65
28,1,2023-01-23,,,18.0,
29,1,2023-01-24,,-4.0,,0.55
30,1,2023-01-25,,7.0,16.0,0.4
31,1,2023-01-26,80.0,-29.0,20.0,
32,1,2023-01-27,92.0,49.0,35.0,0.3
33,1,2023-01-28,,58.0,20.0,
34,1,2023-01-29,52.0,-37.0,40.0,0.3
35,1,2023-01-30,,,9.0,0.95
36,1,2023-01-31,,,13.0,
37,1,2023-02-01,58.0,15.0,25.0,
38,1,2023-02-02,,,,0.9
39,1,2023-02-03,,32.0,36.0,
40,1,2023-02-04,,,26.0,
41,1,2023-02-05,57.0,29.341284403669725,31.0,0.75
42,1,2023-02-06,,,,
43,1,2023-02-07,,,0.0,
44,1,2023-02-08,,,,
45,1,2023-02-09,,,,
46,1,2023-02-10,86.0,,15.0,0.65
47,1,2023-02-11,,24.0,38.0,0.3
48,1,2023-02-12,,,,
49,1,2023-02-13,24.0,-25.0,40.0,
50,1,2023-02-14,,,,
51,1,2023-02-15,28.95015015015015,,15.0,
52,1,2023-02-16,,,,0.3
53,1,2023-02-17,,,,0.8
54,1,2023-02-18,,,20.0,
55,1,2023-02-19,43.0,13.0,18.0,0.7
56,1,2023-02-20,28.95015015015015,-34.0,26.0,
57,1,2023-02-21,,,29.0,0.0
58,1,2023-02-22,,29.341284403669725,,0.95
59,1,2023-02-23,,,,0.35
60,1,2023-02-24,,,,
61,1,2023-02-25,98.0,49.0,15.0,
62,1,2023-02-26,,,5.0,
63,1,2023-02-27,65.0,58.0,14.0,
64,1,2023-02-28,,,,0.7
65,1,2023-03-01,,17.0,,
66,1,2023-03-02,19.0,-19.0,,0.0
67,1,2023-03-03,,-19.0,19.0,
68,1,2023-03-04,74.0,5.0,25.0,
69,1,2023-03-05,79.0,61.0,13.0,
70,1,2023-03-06,48.0,-24.0,19.0,0.45
71,1,2023-03-07,,42.0,,0.1
72,1,2023-03-08,,,1.0,0.2
73,1,2023-03-09,89.0,11.0,,0.25
74,1,2023-03-10,,,22.0,0.3
75,1,2023-03-11,,,,0.65
76,1,2023-03-12,,,,0.55
77,1,2023-03-13,,,32.0,0.1
78,1,2023-03-14,15.0,-16.0,33.0,
79,1,2023-03-15,-9.0,-21.0,27.0,0.25
80,1,2023-03-16,,,23.0,
81,1,2023-03-17,,,,0.05
82,1,2023-03-18,52.0,2.0,,
83,1,2023-03-19,,,11.0,
84,1,2023-03-20,,,37.0,0.95
85,1,2023-03-21,,,10.0,0.7
86,1,2023-03-22,,,25.0,
87,1,2023-03-23,109.0,-26.0,11.0,0.4
88,1,2023-03-24,,,,
89,1,2023-03-25,73.0,,,
90,1,2023-03-26,-22.0,,,0.0
91,1,2023-03-27,,92.0,,0.9
92,1,2023-03-28,76.0,29.341284403669725,39.0,0.4
93,1,2023-03-29,55.0,-39.0,,
94,1,2023-03-30,,,39.0,
95,1,2023-03-31,108.0,-22.0,27.0,
96,1,2023-04-01,97.0,,,0.3
97,1,2023-04-02,,,23.0,
98,1,2023-04-03,,29.341284403669725,29.0,
99,1,2023-04-04,74.0,29.341284403669725,,
100,1,2023-04-05,,,,0.8
101,1,2023-04-06,,-32.0,34.0,0.25
102,1,2023-04-07,-25.0,,,
103,1,2023-04-08,77.0,-30.0,,0.65
104,1,2023-04-09,,,,0.6
105,1,2023-04-10,,-21.0,14.0,
106,1,2023-04-11,,,,
107,1,2023-04-12,20.0,,18.0,
108,1,2023-04-13,,,20.0,0.4
109,1,2023-04-14,34.0,29.341284403669725,3.0,0.0
110,1,2023-04-15,56.0,43.0,,
111,1,2023-04-16,5.0,-22.0,40.0,
112,1,2023-04-17,,,,
113,1,2023-04-18,,,18.0,0.05
114,1,2023-04-19,,,,
115,1,2023-04-20,67.0,-32.0,22.0,
116,1,2023-04-21,28.95015015015015,9.0,38.0,0.0
117,1,2023-04-22,87.0,17.0,,
118,1,2023-04-23,61.0,12.0,,
119,1,2023-04-24,,10.0,9.0,
120,1,2023-04-25,,,5.0,
121,1,2023-04-26,36.0,29.341284403669725,,0.75
122,1,2023-04-27,,,,
123,1,2023-04-28,96.0,-13.0,23.0,
124,1,2023-04-29,90.0,-13.0,,0.9
125,1,2023-04-30,,,10.0,
126,1,2023-05-01,,,,0.6
127,1,2023-05-02,-18.0,-22.0,,0.0
128,1,2023-05-03,,,,0.0
129,1,2023-05-04,28.95015015015015,,31.0,
130,1,2023-05-05,,,,0.95
131,1,2023-05-06,55.0,21.0,,0.45
132,1,2023-05-07,-7.0,-23.0,,0.7
133,1,2023-05-08,28.95015015015015,27.0,7.0,
134,1,2023-05-09,,,,0.35
135,1,2023-05-10,,,,0.35
136,1,2023-05-11,,,39.0,0.5
137,1,2023-05-12,,,,0.0
138,1,2023-05-13,20.0,1.0,,
139,1,2023-05-14,,,17.0,0.2
140,1,2023-05-15,91.0,37.0,,0.1
141,1,2023-05-16,,,,0.35
142,1,2023-05-17,,29.341284403669725,,
143,1,2023-05-18,,1.0,38.0,
144,1,2023-05-19,,,37.0,
145,1,2023-05-20,109.0,-23.0,39.0,0.75
146,1,2023-05-21,,,,0.9
147,1,2023-05-22,23.0,6.0,13.0,
148,1,2023-05-23,109.0,37.0,34.0,0.8
149,1,2023-05-24,52.0,29.341284403669725,,0.15
150,1,2023-05-25,,,15.0,0.15
151,1,2023-05-26,43.0,-12.0,29.0,0.45
152,1,2023-05-27,28.95015015015015,-6.0,,0.65
153,1,2023-05-28,24.0,1.0,1.0,0.6
154,1,2023-05-29,28.95015015015015,17.0,,
155,1,2023-05-30,14.0,-33.0,,0.45
156,1,2023-05-31,64.0,52.0,26.0,
157,1,2023-06-01,,,29.0,0.35
158,1,2023-06-02,67.0,-37.0,39.0,0.45
159,1,2023-06-03,105.0,78.0,,
160,1,2023-06-04,28.95015015015015,22.0,,0.65
161,1,2023-06-05,71.0,29.341284403669725,36.0,0.3
162,1,2023-06-06,-5.0,-37.0,2.0,0.35
163,1,2023-06-07,-11.0,,27.0,
164,1,2023-06-08,-21.0,-36.0,7.0,
165,1,2023-06-09,7.0,-19.0,8.0,0.2
166,1,2023-06-10,71.0,56.0,39.0,
167,1,2023-06-11,,89.0,15.0,0.4
168,1,2023-06-12,72.0,26.0,20.0,
169,1,2023-06-13,,,2.0,
170,1,2023-06-14,2.0,-17.0,,
171,1,2023-06-15,33.0,4.0,,0.95
172,1,2023-06-16,89.0,60.0,,
173,1,2023-06-17,,,30.0,0.45
174,1,2023-06-18,86.0,79.0,38.0,0.25
175,1,2023-06-19,60.0,-10.0,,0.65
